vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
1FTEW1EP5LKF18954,2020,Ford,F-150,XL SuperCrew 5.5' Box ,25699,76799,Automatic,4WD,Gas,18,23,Oxford White,Dark Earth Gray, Littleton, CO
1FMSK8DH6LGB88354,2020,Ford,Explorer,XLT ,22988,141184,Automatic,4WD,Gas,20,27,Agate Black Metallic,Ebony, Seekonk, MA
1FTEW1EP8LKF49809,2020,Ford,F-150,Lariat SuperCrew 5.5' Box ,43990,48717,Automatic,4WD,Gas,18,23,Iconic Silver Metallic,Black, Milwaukee, WI
1FTEW1EG1GFB45846,2016,Ford,F-150,XLT SuperCrew 5.5' Box ,17498,142782,Automatic,4WD,Gas,17,23,White,Gray, Lexington, KY
1FTFW1E56MFB89789,2021,Ford,F-150,XLT SuperCrew 5.5' Box ,54000,26311,Automatic,4WD,Gas,19,22,Oxford White,Black/Medium Dark Slate, Tacoma, WA
1FTEW1E84GKF07586,2016,Ford,F-150,XLT SuperCrew 5.5' Box ,24900,100771,Automatic,4WD,Gas,17,23,Black,Gray, Idaho Falls, ID
1FTMF1C59JKD23322,2018,Ford,F-150,XL Regular Cab 6.5' Box ,11997,151521,Automatic,RWD,Gas,20,25,Oxford White,Medium Earth Gray, Chesterfield, MO
1FTEW1EP6LKE26574,2020,Ford,F-150,XLT SuperCrew 5.5' Box ,36757,30285,Automatic,4WD,Gas,18,23,Black,Black, Attica, NY
1FTFX1EF8HKD20837,2017,Ford,F-150,XL SuperCab 6.5' Box ,19999,110818,Automatic,4WD,Gas,17,23,White,Unknown, Woodway, TX
1FTEW1EPXLKE98491,2020,Ford,F-150,XLT SuperCrew 5.5' Box ,35955,31957,Automatic,4WD,Gas,18,23,White,Medium Earth Gray, Milwaukee, WI
1FTFW1E89MKE26308,2021,Ford,F-150,XLT SuperCrew 5.5' Box ,42971,22811,Automatic,4WD,Gas,19,22,Oxford White,Black W/Medium Dark Slate, Marysville, WA
