vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
1N4AL3AP4FC588068,2015,Nissan,Altima,2.5 S,10250,114701,Automatic,FWD,Gas,27,38,Super Black,Charcoal, Austin, TX
1N4AL3AP7FC185069,2015,Nissan,Altima,2.5 S,8999,108333,Automatic,FWD,Gas,27,38,Silver,Black, San Diego, CA
2HGFB2F51FH543169,2015,Honda,Civic,LX Sedan ,8995,128791,Automatic,FWD,Gas,30,39,Crystal Black Pearl,Black, Escondido, CA
4T1M11AK0LU968922,2020,Toyota,Camry,SE  ,29000,18767,Automatic,FWD,Gas,28,39,Predawn Gray Mica,Black, Midland, TX
W1N0G8EB1NV395135,2022,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,42169,7898,Automatic,AWD,Gas,21,28,Polar White,Unknown, Nanuet, NY
5YFEPMAE9MP240825,2021,Toyota,Corolla,LE ,18497,51856,Automatic,FWD,Gas,30,38,Black Sand Pearl,Black, Orlando, FL
3N1AB7APXKY231759,2019,Nissan,Sentra,S ,8991,121072,Automatic,FWD,Gas,27,35,Super Black,Charcoal, Charleston, SC
3N1AB7AP3KY249049,2019,Nissan,Sentra,SV ,11430,69121,Automatic,FWD,Gas,29,37,Deep Blue Pearl,Charcoal, Maitland, FL
2HGFC2F67LH602260,2020,Honda,Civic,LX Sedan ,15599,122341,Automatic,FWD,Gas,30,38,Gray,Gray, Fullerton, CA
5YFEPMAE5MP200841,2021,Toyota,Corolla,LE ,19500,61779,Automatic,FWD,Gas,30,38,Super White,Black, San Antonio, TX
5XXGT4L31KG325258,2019,Kia,Optima,LX,15884,42779,Automatic,FWD,Gas,24,33,Snow White Pearl,Black, Arcadia, FL
WDDHF5KBXGB185336,2016,Mercedes-Benz,E-Class,E 350 Sport Sedan ,20280,47317,Automatic,RWD,Gas,20,29,Polar White,Black, Anaheim, CA
5J6RW1H55LA015842,2020,Honda,CR-V,EX ,26476,28425,Automatic,FWD,Gas,28,34,Crystal Black Pearl,Unknown, Montclair, CA
1N4AL2AP1CC216810,2012,Nissan,Altima,2.5 S Sedan ,3995,106195,Automatic,FWD,Gas,23,32,Super Black,Charcoal, Brooklyn, NY
JTDEPRAE8LJ103133,2020,Toyota,Corolla,LE ,17995,61980,Automatic,FWD,Gas,30,38,Black Sand Pearl,Black, Bradenton, FL
5NPE24AF2GH338345,2016,Hyundai,Sonata,SE 2.4L,9995,136051,Automatic,FWD,Gas,25,38,Quartz White Pearl,Gray, Conway, SC
5N1AT3BB9MC752047,2021,Nissan,Rogue,SV ,24997,29085,Automatic,AWD,Gas,25,32,Pearl White Tricoat,Charcoal, Rockford, IL
5YFEPRAE4LP097942,2020,Toyota,Corolla,LE ,17795,65020,Automatic,FWD,Gas,30,38,Celestite,Black, Bradenton, FL
5XXGT4L39JG204573,2018,Kia,Optima,LX,13875,97021,Automatic,FWD,Gas,25,36,Snow White Pearl,Black, Lancaster, CA
5J8YD4H85LL023173,2020,Acura,MDX,SH- with Advance Package,34451,56838,Automatic,AWD,Gas,19,26,Platinum White Pearl,Tan, Dallas, TX
5NPD84LF1LH582389,2020,Hyundai,Elantra,SEL IVT (SULEV),16394,66959,Automatic,FWD,Gas,30,40,Calypso Red,Gray, Athens, GA
W1N0G8EB0NV333158,2022,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,41995,21741,Automatic,AWD,Gas,21,28,Black,Black, Union, NJ
3MW5R1J05L8B12185,2020,BMW,3,330i ,26011,59729,Automatic,RWD,Gas,26,36,Alpine White,Black, Gainesville, FL
3N1AB8DV5LY210576,2020,Nissan,Sentra,SR ,15995,116390,Automatic,FWD,Gas,28,37,Gun Metallic/Super Black,Sport, Keyport, NJ
1N4AL3AP2FC165618,2015,Nissan,Altima,2.5 S,10990,83169,Automatic,FWD,Gas,27,38,Storm,Charcoal, Fredericksburg, VA
2HGFC2F86MH501729,2021,Honda,Civic,Sport Sedan ,23597,21109,Automatic,FWD,Gas,29,37,Modern Steel Metallic,Unknown, Gainesville, FL
1N4AZ1CP8LC304596,2020,Nissan,LEAF,SV,21998,12156,Automatic,FWD,Electric,150,,Super Black,Black, West Palm Beach, FL
1N4AL3APXDN505793,2013,Nissan,Altima,2.5 SL Sedan,11777,63087,Automatic,FWD,Gas,27,38,Super Black,Charcoal, Los Angeles, CA
4T3L6RFV0MU024514,2021,Toyota,RAV4,Hybrid LE ,21000,149560,Automatic,AWD,Hybrid,41,38,White,Tan, Stone Mountain, GA
KNMAT2MV0KP539452,2019,Nissan,Rogue,S ,12995,154434,Automatic,AWD,Gas,25,32,Glacier White,Charcoal, Victor, NY
5YFEPRAE5LP078011,2020,Toyota,Corolla,LE ,17999,56822,Automatic,FWD,Gas,30,38,Black Sand Pearl,Black, Pompano Beach, FL
JTDKN3DU8A0164963,2010,Toyota,Prius,Four,9000,152320,Automatic,FWD,Hybrid,51,48,Winter Gray Metallic,Black, Smyrna, TN
5NMS33AD4LH252129,2020,Hyundai,Santa,SEL 2.4L ,14995,146561,Automatic,FWD,Gas,22,29,Calypso Red,Black/Beige, Morris, IL
5NPDH4AE2GH734230,2016,Hyundai,Elantra,SE Sedan ,7499,127039,Automatic,FWD,Gas,28,38,Quartz White Pearl,Gray, San Diego, CA
2HKRW1H52MH425319,2021,Honda,CR-V,EX ,21150,99450,Automatic,FWD,Gas,28,34,Lunar Silver Metallic,Unknown, Montclair, CA
19XFC1F31LE002943,2020,Honda,Civic,EX Sedan ,19998,29453,Automatic,FWD,Gas,32,42,Crystal Black Pearl,Black, Lexington, KY
KNMAT2MT2HP605197,2017,Nissan,Rogue,2017.5 SV ,11456,118171,Automatic,FWD,Gas,26,33,Glacier White,Charcoal, Nashville, TN
55SWF4JB2HU205363,2017,Mercedes-Benz,C-Class,C 300 Sedan ,16995,96232,Automatic,RWD,Gas,23,30,Black,Black, Tampa, FL
7FARW1H59LE008118,2020,Honda,CR-V,EX ,25909,35880,Automatic,FWD,Gas,28,34,Sonic Gray Pearl,Unknown, Montclair, CA
5YFEPMAE1MP200092,2021,Toyota,Corolla,LE ,18900,60818,Automatic,FWD,Gas,30,38,Classic Silver Metallic,Black, San Antonio, TX
3TMCZ5AN2LM323123,2020,Toyota,Tacoma,TRD Off Road Double Cab 5' Bed V6  ,16700,46309,Automatic,4WD,Gas,18,22,Magnetic Gray Metallic,Cement, Portland, OR
5YFEPMAE2MP177969,2021,Toyota,Corolla,LE ,17798,32192,Automatic,FWD,Gas,30,38,Super White,Black, Miami, FL
4T1G11AK5LU985082,2020,Toyota,Camry,SE  ,18495,61099,Automatic,FWD,Gas,28,39,Silver,Unknown, Hollywood, FL
5FNYF8H04MB017508,2021,Honda,Passport,Elite ,29999,10185,Automatic,AWD,Gas,19,24,Platinum White Pearl,Black, Sacramento, CA
