vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
1G1ZD5ST0MF033687,2021,Chevrolet,Malibu,LT,22866,60301,Automatic,FWD,Gas,29,36,Summit White,Jet Black, Lubbock, TX
5J8TC1H75LL013651,2020,Acura,RDX, with Advance Package,40995,31995,Automatic,FWD,Gas,22,28,Platinum White Pearl,Ebony, Cerritos, CA
1G1ZD5ST2MF052340,2021,Chevrolet,Malibu,LT,18995,73017,Automatic,FWD,Gas,29,36,Mosaic Black Metallic,Jet Black, Mobile, AL
4T3E6RFVXMU049400,2021,Toyota,RAV4,Hybrid XSE ,41444,30142,Automatic,AWD,Hybrid,41,38,Magnetic Gray Metallic/Midnight Black Metallic,Black, Gainesville, FL
2C3CCABG5MH592330,2021,Chrysler,300,S ,30770,35036,Automatic,RWD,Gas,19,30,Bright White Clearcoat,Black, San Antonio, TX
KNMAT2MV2LP533458,2020,Nissan,Rogue,SV ,25990,21788,Automatic,AWD,Gas,25,32,Gun Metallic,Charcoal, Woodbury, NJ
1FTEW1EP3KFB35084,2019,Ford,F-150,XLT SuperCrew 5.5' Box ,37998,45411,Automatic,4WD,Gas,18,23,Purple,Black, Franklin, TN
1G1ZD5ST8MF065187,2021,Chevrolet,Malibu,LT,24896,45625,Automatic,FWD,Gas,29,36,Shadow Gray Metallic,Jet Black, Morton, IL
3GCPYFED3MG294503,2021,Chevrolet,Silverado,LT Trail Boss Crew Cab Short Bed ,48995,41088,Automatic,4WD,Gas,16,21,Iridescent Pearl Tricoat,Jet Black, Sierra Vista, AZ
2C4RC1DG2MR545902,2021,Chrysler,Voyager,LXI ,23515,57618,Automatic,FWD,Gas,19,28,Billet Silver Metallic Clearcoat,Black/Alloy, Charleston, SC
1N4AZ1CP8KC305228,2019,Nissan,LEAF,S,16498,26479,Automatic,FWD,Electric,150,,Gun Metallic,Black, Buena Park, CA
2HKRW2H85LH641227,2020,Honda,CR-V,EX-L ,27955,48350,Automatic,AWD,Gas,27,32,Obsidian Blue Pearl,Gray, Columbus, OH
3FA6P0HD9ER135052,2014,Ford,Fusion,SE ,12810,68540,Automatic,FWD,Gas,22,34,Sterling Gray Metallic,Charcoal Black, Portland, OR
W1N0G8DB6LF761082,2020,Mercedes-Benz,GLC,GLC 300 SUV ,29199,67189,Automatic,RWD,Gas,22,29,Gray / Beige,Unknown, Marietta, GA
WDBSK75F23F042002,2003,Mercedes-Benz,SL,SL 500,12995,57488,Automatic,RWD,Gas,15,22,Black,Gray, Chantilly, VA
4T1C11AK1NU618827,2022,Toyota,Camry,LE  ,24988,41181,Automatic,FWD,Gas,28,39,Unknown,Unknown, Marina Del Rey, CA
JTHCM1D26G5014001,2016,Lexus,IS,IS 300 ,26499,57505,Automatic,AWD,Gas,19,26,Eminent White Pearl,Black, Online Retailer,
4T1B11HK7KU822741,2019,Toyota,Camry,LE ,23950,43640,Automatic,FWD,Gas,28,39,Predawn Gray Mica,Black, Millersville, MD
3KPF24ADXME410556,2021,Kia,Forte,LXS IVT,19899,24308,Automatic,FWD,Gas,29,40,Aurora Black,Black, Sandwich, IL
W1KWJ8DB7MG070146,2021,Mercedes-Benz,C-Class,C 300 Coupe ,40995,9228,Automatic,RWD,Gas,24,33,Polar White,Cranberry Red, Torrance, CA
JTMF1RFV4LD062352,2020,Toyota,RAV4,LE ,28467,59133,Automatic,AWD,Gas,27,34,Unknown,Black, Boise, ID
MAJ6S3JL4MC411488,2021,Ford,EcoSport,SES ,19300,51851,Automatic,4WD,Gas,23,29,Moondust Silver Metallic,Ebony Black, Glendale, CA
