vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
1FMSK8DH7LGB68873,2020,Ford,Explorer,XLT ,32995,29234,Automatic,4WD,Gas,20,27,Iconic Silver Metallic,Ebony, Hicksville, OH
2C4RC1CG7CR163106,2012,Chrysler,Town,Touring-L,4999,184551,Automatic,FWD,Gas,17,25,Dark Charcoal Pearl,Black/Light Graystone Interior, Logan, UT
5NPEG4JA0LH041140,2020,Hyundai,Sonata,SE,21494,5874,Automatic,FWD,Gas,28,38,Calypso Red,Dark Gray, Salt Lake City, UT
3FA6P0D99LR192818,2020,Ford,Fusion,Titanium ,22422,61570,Automatic,AWD,Gas,20,29,Gray,Unknown, Enumclaw, WA
3GTUUCET2NG507530,2022,GMC,Sierra,Elevation Crew Cab Standard Bed ,56413,8953,Automatic,4WD,Diesel,17,20,Onyx Black,Jet Black, Woods Cross, UT
1HGCT1B86HA005708,2017,Honda,Accord,EX-L Coupe ,18871,65110,Automatic,FWD,Gas,26,34,Still Night Pearl,Black, Sanford, FL
3N1AB8CV2MY262623,2021,Nissan,Sentra,SV ,21699,61144,Automatic,FWD,Gas,29,39,Fresh Powder,Charcoal, Raleigh, NC
JF2SKAXC1LH491436,2020,Subaru,Forester,2.5i Touring,33500,21172,Automatic,AWD,Gas,26,33,Crystal Black Silica,Saddle Brown, Ogden, UT
JTEBU5JR3J5558643,2018,Toyota,4Runner,SR5 Premium ,33698,90060,Automatic,4WD,Gas,17,20,Midnight Black Metallic,Sand Beige, Bountiful, UT
3GTU2NEC1HG420160,2017,GMC,Sierra,SLT Crew Cab Short Box ,42000,21661,Automatic,4WD,Gas,16,22,Cardinal Red,Jet Black, Devils Lake, ND
2T3G1RFVXKW079484,2019,Toyota,RAV4,LE ,27217,27164,Automatic,AWD,Gas,27,34,Magnetic Gray Metallic,Black, Brookpark, OH
JTJAM7BX0M5274736,2021,Lexus,GX,GX 460 Premium,51995,25111,Automatic,4WD,Gas,15,19,Black Onyx,Rioja Red, Houston, TX
5YJSA1E29KF307368,2019,Tesla,Model,100D,52885,22174,Automatic,AWD,Electric,335,,Solid Black,Black, Sherman Oaks, CA
4T1G11AK9MU521519,2021,Toyota,Camry,SE ,23998,62958,Automatic,FWD,Gas,28,39,Midnight Black Metallic,Black, Montclair, CA
5YFEPMAE5MP216862,2021,Toyota,Corolla,LE ,22900,38462,Automatic,FWD,Gas,30,38,Black Sand Pearl,Black, Online Retailer,
1FTFW1ET9DKF22007,2013,Ford,F-150,XL SuperCrew 6.5' Box ,16999,94583,Automatic,4WD,Gas,14,19,White,Gray, Round Rock, TX
4M2CU29389KJ09750,2009,Mercury,Mariner, 4dr I4 Hybrid,7999,118998,Automatic,FWD,Hybrid,34,31,Black,Black, Panorama City, CA
3FAHP0JG5CR386077,2012,Ford,Fusion,SEL ,6850,142365,Automatic,FWD,Gas,23,33,Ingot Silver Metallic,Gray, Albany, NY
1FTFW1E8XMFB32392,2021,Ford,F-150,XLT SuperCrew 5.5' Box ,42949,47903,Automatic,4WD,Gas,19,22,Oxford White,Black/Baja Tan, Park City, UT
1C4HJXEN6MW619430,2021,Jeep,Wrangler,Unlimited Sahara High Altitude,39227,38605,Automatic,4WD,Gas,21,24,Granite Crystal Metallic Clearcoat,Black, Angola, IN
1C4RJFBGXLC143624,2020,Jeep,Grand,Limited ,33365,37316,Automatic,4WD,Gas,18,25,Bright White Clearcoat,Black, Cherry Hill, NJ
5FNYF6H09HB076032,2017,Honda,Pilot,Elite ,25998,93680,Automatic,AWD,Gas,19,26,White Diamond Pearl,Gray, Loveland, CO
1FTFX1CT3EFB25872,2014,Ford,F-150,XLT SuperCab 8.0' Box ,18695,90267,Automatic,RWD,Gas,15,21,Black,Grey, Norco, CA
KMHL64JA0PA273689,2023,Hyundai,Sonata,SEL 2.5L,27895,3259,Automatic,FWD,Gas,27,37,Carbon Blue,Black, Salt Lake City, UT
KNDJX3A5XG7310816,2016,Kia,Soul,! ,9900,128400,Automatic,FWD,Gas,24,31,Shadow Black,Black, New Bern, NC
1FMEU63E98UA36788,2008,Ford,Explorer,XLT V6 ,5955,129056,Automatic,RWD,Gas,14,20,Vapor Silver Metallic,Tan, Los Angeles, CA
3N1AB7AP0KY240213,2019,Nissan,Sentra,S ,17999,53663,Automatic,FWD,Gas,27,35,Brilliant Silver,Charcoal, Norwalk, CA
4T1M11AK7LU318517,2020,Toyota,Camry,SE  ,26998,30519,Automatic,FWD,Gas,28,39,Super White,Black, Canoga Park, CA
3VW1K7AJ9FM310214,2015,Volkswagen,Jetta,S with Technology ,9995,70506,Manual,FWD,Gas,25,34,Pure White,Unknown, Bountiful, UT
3FA6P0LU2JR201314,2018,Ford,Fusion,Hybrid SE ,17200,86659,Automatic,FWD,Hybrid,43,41,Magnetic Metallic,Ebony, Raleigh, NC
WBXHU7C35J3H44172,2018,BMW,X1,sDrive28i ,23998,58764,Automatic,FWD,Gas,23,32,Black Sapphire Metallic,Black, Torrance, CA
3GNAXUEV6KL278894,2019,Chevrolet,Equinox,LT with 1LT ,19677,62084,Automatic,AWD,Gas,25,30,Mosaic Black Metallic,Jet Black, Bourbonnais, IL
5N1AT2MV7LC747431,2020,Nissan,Rogue,SV ,24998,42921,Automatic,AWD,Gas,25,32,Magnetic Black Pearl,Charcoal, Lancaster, PA
1GNSKJKJ0KR233400,2019,Chevrolet,Suburban,Premier ,43500,88461,Automatic,4WD,Gas,14,21,Black,Jet Black, Denver, CO
1G1JG6SG3H4156236,2017,Chevrolet,Sonic,5dr HB  LT w/1FL,15790,46600,Automatic,FWD,Gas,24,34,Summit White,Jet Black/Dark Titanium, Rosedale, MD
